"X","Comments5"
0,"Which one is best 
5 minute craft (comment)😁😁😁😁
123 go (like)😌😌😌"
1,"Who is a like
123 GO (like) 
Troom Troom (comment)"
2,"For that hanger jacket thing WHO EVEN SNEEZES OF COUGHS LIKE THAT



Edit 1: Thx for 5 likes! I’ve never had this many"
3,"Which one is the best 
5 minute craft (comment)😊😊
123 go (like)🥰🥰🥰🥰🥰🥰

👇if you agree."
4,"This is how many people love 123 GO.           
👇🏻

Edit:1.    300!!!

Edit:2.    400!!!

Edit:3     500❤️

Edit:4.    Ahhhh 1.1K!!

Edit:5.     1.8K!!!

Edit:6.     2K!!!

Edit:7.     2.2K!

Edit:8.    2.6K! 100 cm"
5,"Hi most people will not read this but





Remember to never change who you are no matter what you are always beautiful"
6,"Who else watches these, but never tries them? I do!
Like if you do too! 😂😂
👇😂"
7,"1:11 She is so funny throwing the dust to those who think I am mean i meant when laughing has her entertaining"
8,"I never knew you guys cursed! Btw you said “Damn Vickey!”"
9,"5:08 they said damn"
10,"3:03 could see the hole.like if yes."
11,"The subway one was apperent motion"
12,"1:13 Alan and Alex stokes do that"
13,"Vicky😍😘 on bloopers your actions are like Mr.Bean😁
Hit like blooper lovers👍"
14,"Love ❤️ you"
15,"I love this vid THUMBS UP!!"
16,"When you put the powder I sneeze😪"
17,"Leave a like if you love 123 go."
18,"Vickie is my favorite. 

 This is how many people like Vickie too
👇🏻"
19,"""That can be our little secret!""
People all over the world see the video, not so much of a secret anymore!"
20,"6:48 te dio sida? :'v"
21,"That’s sneaky"
22,"Roses are red
Violets are blue 
if you love 123 go
Make this blue
👇"
23,"2020 I think u should reveal your voice"
24,"Well Vicky is already in 5 minute crafts but I am going to have to say 123 go"
25,"6:29 look in the pot its water she said its noodle soup"
26,"5:13 she DID eat ""his"" face off"
27,"3:50 Lyp synch sister we know"
28,"97% of people won't read this but....







The 3% that does I hope you have a lovely day
And don't forget to smile bright like  a diamond😀💎
I want you to know that whatever your going through is not permanent
It's gonna get better sunshine😊⛅
In the name of love💕

I'm spreading blessings from a itty bitty Youtuber whose goal is to reach 300 subs your support would mean a lot🙏"
29,"I tried the hanger head trick and the flower trick they worked like a charm"
30,"I  love 123 go y’all  are awesome too and you’re the only person who I love 🥰🥰🥰😍😌"
31,"5:11 WATCH IT listen what it says"
32,"“Damn Vickie ever heard of get a room”"
33,"I need a heart from 123 go
And.a like from u who is reading this 🙏 
Edit: thnx for.the likes🤗"
34,"Troom Troom + 5 minute crafts=123 GO"
35,"“Damn Vickie”"
36,"THIS IS HOW MANY PEOPLE LOVE 123 GO 🥰😊😍❤💖😘🤗"
37,"1:50 a galaxy shirt! ! 😍"
38,"Am i the only one who loves Vicky ...🤔🤔


ok...."
39,"That's what we called ""supported friends"" :)"
40,"I'm in love with this girl"
41,"I think the kiss real😂"
42,"123GO and FBE REACT!❤️"
43,"ROSES ARE RED
VIOLETS ARE BLUE
IF YOU LOVE 123GO
MAKE THIS A BLUE
👇🙏"
44,"I LOVE THE NARRATOR’S VOICE  IT SOUNDS AMAZING"
45,"5:06 or 5:07 that say the ""D"" word"
46,"It is sooo good that I watch it everyday"
47,"This is so magical"
48,"The bloopers are my favourite part😂"
49,"5:05 damn  vicky"
50,"2:50 I did that in one of my vids.Thanks for the idea"
51,"I love how they don't repeat the hacks, pranks etc."
52,"XD 8:17"
53,"The main quality of your channel is not repeated thing 


I like it"
54,"My favorite part is 5:07"
55,"5:07  I thought this was kid friendly"
56,"When are u gonna do a video with ur real voice"
57,"They are from 5 minutes Craft😱"
58,"How many people love this down there  





👇🏻"
59,"抖音村炮文化强势输出了！厉害了我的国！"
60,"Which  one is best
123go like
T-studio comment"
61,"Do you want to know what there saying?
Yes:comment below 
No:Like"
62,"I’m concerned how Sophia sitting on the ground getting pulled with string how her foot was.."
63,"WOW❤️💛💚💙💙💜"
64,"Who  loves these guys😍😘"
65,"Vickie is my favorite"
66,"5:07 ehem"
67,"The reason why I like 123 go is because they actually look like they’re having fun, and many of these scenarios are believable!"
68,"5:06 ...WHAT DID SHE SAY?!."
69,"This we my first episode of your channel"
70,"Nice girls 😍"
71,"It said Chicken noodle soup, My Favorite! I have eyes.. THAT'S WATER XD"
72,"This is how many people love 123 GO!
|
|
|
|
|
|
|
V"
73,"3:33, what is the name of the song?"
74,"I tried The spoon one"
75,"You guys got me good one. 😀😂❤"
76,"3:36 what is the name of this amazing song!?"
77,"I love everything about you guys you guys show me a lot I love you guys I will love with you for you guys to post Moore okay love you guys kisses"
78,"8:34 what her name? I like her ..."
79,"5:07 seriously"
80,"Hahahahah the head thingy got me😂😂"
81,"Omg its so cool I’ll do some of these to my freinds"
82,"Who loves amy"
83,"How the heck is harryet potter?"
84,"I don’t know who you are but if you are reading this, I still don’t know who you are
😄"
85,"HELP ME 💣💥"
86,"""DaMn ViCkI"""
87,"They are so awesome I love there tricks, school pranks, behind the scenes"
88,"lihiya like 
Vicky comment"
89,"The first dont move the clouds"
90,"No Views And, 18 Likes?
   OH NO YOUTUBE’S DRUNK AGAIN!"
91,"0:03 flowers"
92,"I Love you 123"
