"X","VideoId","Title","Uploader","PublishedDateTime","Viewcount","Likes","Dislikes","Length_in_sec","Duration"
0,"rqnAPo-r8uc","Top 100 Best Viral Videos of the Year 2019!","Newsflare","2019-11-30 17:15:01",310390,2677,179,1941,"00:32:21"
1,"db9EJdbKKKs","3, 2, 1.... FAIL! 🤣 | Funny Videos | AFV 2019","America's Funniest Home Videos","2019-12-04 14:00:11",58175,903,82,626,"00:10:26"
2,"nTWnU-AcoOE","Top Viral Videos Of The Month - August 2019","Newsflare","2019-08-29 18:15:00",2673083,20718,1977,1188,"00:19:48"
3,"mq7yszUJKAs","Top 50 Best Viral Videos Of The Month So Far (November 2019 - Wk1)","Newsflare","2019-11-09 17:30:00",876521,5389,516,822,"00:13:42"
4,"hFLZgMHdUK4","PART 1 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!","Raffy Tulfo in Action","2019-12-02 11:22:23",4882606,87206,3547,1231,"00:20:31"
5,"NC__B8j_Tk8","Top 60 Viral Videos Of The Month - October 2019","Newsflare","2019-10-26 16:00:04",1664966,12552,1079,1042,"00:17:22"
6,"vGVatXSGv4A","50 Best Viral Videos Of The Month - September 2019 (Top Virals)","Newsflare","2019-09-29 18:15:00",1041456,6969,547,953,"00:15:53"
7,"v9pOERMrHYI","Top 40 Viral Videos Of the Month - June 2019","Newsflare","2019-07-01 14:00:14",900744,6846,698,1104,"00:18:24"
8,"mwENYk66q6M","Hilarious Cat Viral Videos | Ultimate Cat Compilation 2019","Newsflare","2019-05-07 10:08:03",12233245,119978,5392,557,"00:09:17"
9,"uQl-r3pqnnQ","Top 100 Viral Videos of the Year 2018","This Is Happening","2018-12-30 16:48:52",41228504,223496,22796,1844,"00:30:44"
10,"xQGniTrrf1E","PART 3 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!","Raffy Tulfo in Action","2019-12-04 13:22:18",1628757,32617,1438,1824,"00:30:24"
11,"l4a7MBfz-sw","50 Best Viral Videos Of The Year, So Far (2019)","Newsflare","2019-08-18 17:00:09",5375783,52638,4993,898,"00:14:58"
12,"FC31lxet5B8","11 Most Unusual Kids in the World","#Mind Warehouse","2019-08-18 18:01:23",6207175,54418,2828,719,"00:11:59"
13,"VFn3HxKmJEY","She CAN'T Get It OFF!  😂 | Funny Fails | AFV 2019","America's Funniest Home Videos","2019-11-30 14:00:05",256073,1954,117,625,"00:10:25"
14,"1asKDNnjZlc","Dogs hilarious reaction when they see cat filter on owners' faces | Funny Dog Videos 2019","Newsflare","2019-11-22 16:30:00",586690,16855,372,81,"00:01:21"
15,"cWiPROxS2HA","Top 100 Viral Videos of the Year 2017","This Is Happening","2017-12-23 16:00:03",65694818,437043,34372,1757,"00:29:17"
16,"Z9jnQdmllMI","PART 2 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!","Raffy Tulfo in Action","2019-12-03 15:10:48",3498769,48797,2094,882,"00:14:42"
17,"WxRw73QWzuw","Top 50 Viral Video of the WEEK 2 - October 2019","FailSnare","2019-10-09 15:40:28",150015,601,64,602,"00:10:02"
18,"2_NzEpRVGxQ","Top 40 Viral Videos of the Year 2018","Newsflare","2018-12-22 19:52:34",13001037,80260,6248,487,"00:08:07"
19,"k8-S7VkQpT4","The 100 BEST Pranks | AFV Funniest Videos January 2019","America's Funniest Home Videos","2019-01-09 14:00:05",12815758,72277,6749,718,"00:11:58"
20,"68ORjuHT1og","Top 50 Funniest AFV Moments | Funny Videos Compilation","America's Funniest Home Videos","2018-09-27 15:15:00",10058776,22109,3048,495,"00:08:15"
21,"iCBPf4alAFM","Top Viral Videos Of The Month - April 2019","Newsflare","2019-04-28 18:45:01",1751992,11307,1103,804,"00:13:24"
22,"mFLoerQIFO0","Top 5 Hot Viral Videos | Shams Studio |","Shams Studio","2019-01-07 16:30:28",58107,162,86,360,"00:06:00"
23,"Qk4acvdyyqo","Top 10 Viral Videos of All Time","WatchMojo.com","2014-12-12 15:30:52",13774051,91807,6143,850,"00:14:10"
24,"yDTk6u2oVvo","TOP VIRAL VIDEO #2019","Mr Kuchbhi Tv Channel","2019-02-15 17:21:11",40712,70,27,100,"00:01:40"
25,"ys_uWgg8OY0","Dressed For FAILURE! 🤩😂 | Funniest Fails | AFV 2019","America's Funniest Home Videos","2019-11-29 14:00:15",566850,2948,311,635,"00:10:35"
